index,card_id,card_name,card_number,set_id,set_name,binder_name,page_number,slot_number,card_market_value
1_4_4,base1-31,Jynx,31,base1,NOT_FOUND,1,4,4,0.0
1_4_5,base1-32,Kadabra,32,base1,NOT_FOUND,1,4,5,0.0
1_4_6,base1-33,Kakuna,33,base1,NOT_FOUND,1,4,6,0.0
1_4_7,base1-34,Machoke,34,base1,NOT_FOUND,1,4,7,0.0
1_4_8,base1-35,Magikarp,35,base1,NOT_FOUND,1,4,8,0.0
1_4_9,base1-36,Magmar,36,base1,NOT_FOUND,1,4,9,0.0
1_5_1,base1-37,Nidorino,37,base1,NOT_FOUND,1,5,1,0.0
1_5_2,base1-38,Poliwhirl,38,base1,NOT_FOUND,1,5,2,0.0
1_5_3,base1-39,Porygon,39,base1,NOT_FOUND,1,5,3,0.0
1_5_4,base1-40,Raticate,40,base1,NOT_FOUND,1,5,4,0.0
1_5_5,base1-41,Seel,41,base1,NOT_FOUND,1,5,5,0.0
1_5_6,base1-42,Wartortle,42,base1,NOT_FOUND,1,5,6,0.0
1_5_7,base1-43,Abra,43,base1,NOT_FOUND,1,5,7,0.0
1_5_8,base1-44,Bulbasaur,44,base1,NOT_FOUND,1,5,8,0.0
1_5_9,base1-45,Caterpie,45,base1,NOT_FOUND,1,5,9,0.0
1_6_1,base1-46,Charmander,46,base1,NOT_FOUND,1,6,1,0.0
1_6_2,base1-47,Diglett,47,base1,NOT_FOUND,1,6,2,0.0
1_6_3,base1-48,Doduo,48,base1,NOT_FOUND,1,6,3,0.0
1_6_4,base1-49,Drowzee,49,base1,NOT_FOUND,1,6,4,0.0
1_6_5,base1-50,Gastly,50,base1,NOT_FOUND,1,6,5,0.0
1_6_6,base1-51,Koffing,51,base1,NOT_FOUND,1,6,6,0.0
1_6_7,base1-52,Machop,52,base1,NOT_FOUND,1,6,7,0.0
1_6_8,base1-53,Magnemite,53,base1,NOT_FOUND,1,6,8,0.0
1_6_9,base1-54,Metapod,54,base1,NOT_FOUND,1,6,9,0.0
1_7_1,base1-55,Nidoran ♂,55,base1,NOT_FOUND,1,7,1,0.0
1_7_2,base1-56,Onix,56,base1,NOT_FOUND,1,7,2,0.0
1_7_3,base1-57,Pidgey,57,base1,NOT_FOUND,1,7,3,0.0
1_7_4,base1-58,Pikachu,58,base1,Base Set,1,7,4,5.15
1_7_5,base1-59,Poliwag,59,base1,NOT_FOUND,1,7,5,0.0
1_7_6,base1-60,Ponyta,60,base1,NOT_FOUND,1,7,6,0.0
1_7_7,base1-61,Rattata,61,base1,NOT_FOUND,1,7,7,0.0
1_7_8,base1-62,Sandshrew,62,base1,NOT_FOUND,1,7,8,0.0
1_7_9,base1-63,Squirtle,63,base1,NOT_FOUND,1,7,9,0.0
1_8_1,base1-64,Starmie,64,base1,NOT_FOUND,1,8,1,0.0
1_8_2,base1-65,Staryu,65,base1,NOT_FOUND,1,8,2,0.0
1_8_3,base1-66,Tangela,66,base1,NOT_FOUND,1,8,3,0.0
1_8_4,base1-67,Voltorb,67,base1,NOT_FOUND,1,8,4,0.0
1_8_5,base1-68,Vulpix,68,base1,NOT_FOUND,1,8,5,0.0
1_8_6,base1-69,Weedle,69,base1,NOT_FOUND,1,8,6,0.0
1_8_7,base1-70,Clefairy Doll,70,base1,NOT_FOUND,1,8,7,0.0
1_8_8,base1-71,Computer Search,71,base1,NOT_FOUND,1,8,8,0.0
1_8_9,base1-72,Devolution Spray,72,base1,NOT_FOUND,1,8,9,0.0
1_9_1,base1-73,Impostor Professor Oak,73,base1,NOT_FOUND,1,9,1,0.0
1_9_2,base1-74,Item Finder,74,base1,NOT_FOUND,1,9,2,0.0
1_9_3,base1-75,Lass,75,base1,NOT_FOUND,1,9,3,0.0
1_9_4,base1-76,Pokémon Breeder,76,base1,NOT_FOUND,1,9,4,0.0
1_9_5,base1-77,Pokémon Trader,77,base1,NOT_FOUND,1,9,5,0.0
1_9_6,base1-78,Scoop Up,78,base1,NOT_FOUND,1,9,6,0.0
1_9_7,base1-79,Super Energy Removal,79,base1,NOT_FOUND,1,9,7,0.0
1_9_8,base1-80,Defender,80,base1,NOT_FOUND,1,9,8,0.0
1_9_9,base1-81,Energy Retrieval,81,base1,NOT_FOUND,1,9,9,0.0
1_10_1,base1-82,Full Heal,82,base1,NOT_FOUND,1,10,1,0.0
1_10_2,base1-83,Maintenance,83,base1,NOT_FOUND,1,10,2,0.0
1_10_3,base1-84,PlusPower,84,base1,NOT_FOUND,1,10,3,0.0
1_10_4,base1-85,Pokémon Center,85,base1,NOT_FOUND,1,10,4,0.0
1_10_5,base1-86,Pokémon Flute,86,base1,NOT_FOUND,1,10,5,0.0
1_10_6,base1-87,Pokédex,87,base1,NOT_FOUND,1,10,6,0.0
1_10_7,base1-88,Professor Oak,88,base1,NOT_FOUND,1,10,7,0.0
1_10_8,base1-89,Revive,89,base1,NOT_FOUND,1,10,8,0.0
1_10_9,base1-90,Super Potion,90,base1,NOT_FOUND,1,10,9,0.0
1_11_1,base1-91,Bill,91,base1,NOT_FOUND,1,11,1,0.0
1_11_2,base1-92,Energy Removal,92,base1,NOT_FOUND,1,11,2,0.0
1_11_3,base1-93,Gust of Wind,93,base1,NOT_FOUND,1,11,3,0.0
1_11_4,base1-94,Potion,94,base1,NOT_FOUND,1,11,4,0.0
1_11_5,base1-95,Switch,95,base1,NOT_FOUND,1,11,5,0.0
1_11_6,base1-96,Double Colorless Energy,96,base1,NOT_FOUND,1,11,6,0.0
1_11_7,base1-97,Fighting Energy,97,base1,NOT_FOUND,1,11,7,0.0
1_11_8,base1-98,Fire Energy,98,base1,NOT_FOUND,1,11,8,0.0
1_11_9,base1-99,Grass Energy,99,base1,NOT_FOUND,1,11,9,0.0
1_12_1,base1-100,Lightning Energy,100,base1,NOT_FOUND,1,12,1,0.0
1_12_2,base1-101,Psychic Energy,101,base1,NOT_FOUND,1,12,2,0.0
1_12_3,base1-102,Water Energy,102,base1,NOT_FOUND,1,12,3,0.0
1_12_4,base1-4,Charizard,4,base1,Base Set,1,12,4,250.75
1_12_5,base1-2,Blastoise,2,base1,NOT_FOUND,1,12,5,0.0
1_12_6,base1-15,Venusaur,15,base1,NOT_FOUND,1,12,6,0.0
1_12_7,base1-10,Mewtwo,10,base1,NOT_FOUND,1,12,7,0.0
1_12_8,base1-16,Zapdos,16,base1,NOT_FOUND,1,12,8,0.0
1_12_9,base1-14,Raichu,14,base1,NOT_FOUND,1,12,9,0.0
1_13_1,base1-1,Alakazam,1,base1,Base Set,1,13,1,65.5
1_13_2,base1-3,Chansey,3,base1,NOT_FOUND,1,13,2,0.0
1_13_3,base1-12,Ninetales,12,base1,NOT_FOUND,1,13,3,0.0
1_13_4,base1-8,Machamp,8,base1,NOT_FOUND,1,13,4,0.0
1_13_5,base1-4,Charizard,4,base1,Base Set,1,13,5,250.75
1_13_6,base1-10,Mewtwo,10,base1,NOT_FOUND,1,13,6,0.0
1_13_7,base1-58,Pikachu,58,base1,Base Set,1,13,7,5.15
1_13_8,base1-44,Bulbasaur,44,base1,NOT_FOUND,1,13,8,0.0
1_13_9,base1-46,Charmander,46,base1,NOT_FOUND,1,13,9,0.0
1_14_1,base1-63,Squirtle,63,base1,NOT_FOUND,1,14,1,0.0
1_14_2,base1-57,Pidgey,57,base1,NOT_FOUND,1,14,2,0.0
1_14_3,base1-61,Rattata,61,base1,NOT_FOUND,1,14,3,0.0
1_14_4,base1-5,Clefairy,5,base1,NOT_FOUND,1,14,4,0.0
1_14_5,base1-31,Jynx,31,base1,NOT_FOUND,1,14,5,0.0
1_14_6,base1-35,Magikarp,35,base1,NOT_FOUND,1,14,6,0.0
1_14_7,base1-43,Abra,43,base1,NOT_FOUND,1,14,7,0.0
1_14_8,base1-52,Machop,52,base1,NOT_FOUND,1,14,8,0.0
1_14_9,base1-53,Magnemite,53,base1,NOT_FOUND,1,14,9,0.0
1_15_1,base1-51,Koffing,51,base1,NOT_FOUND,1,15,1,0.0
1_15_2,base1-50,Gastly,50,base1,NOT_FOUND,1,15,2,0.0
1_15_3,base1-68,Vulpix,68,base1,NOT_FOUND,1,15,3,0.0
1_15_4,base1-60,Ponyta,60,base1,NOT_FOUND,1,15,4,0.0
1_15_5,base1-49,Drowzee,49,base1,NOT_FOUND,1,15,5,0.0
1_15_6,base1-47,Diglett,47,base1,NOT_FOUND,1,15,6,0.0
1_15_7,base1-69,Weedle,69,base1,NOT_FOUND,1,15,7,0.0
1_15_8,base1-45,Caterpie,45,base1,NOT_FOUND,1,15,8,0.0
1_15_9,base1-55,Nidoran ♂,55,base1,NOT_FOUND,1,15,9,0.0
1_16_1,base1-59,Poliwag,59,base1,NOT_FOUND,1,16,1,0.0
1_16_2,base1-38,Poliwhirl,38,base1,NOT_FOUND,1,16,2,0.0
1_16_3,base1-30,Ivysaur,30,base1,NOT_FOUND,1,16,3,0.0
1_16_4,base1-42,Wartortle,42,base1,NOT_FOUND,1,16,4,0.0
1_16_5,base1-24,Charmeleon,24,base1,NOT_FOUND,1,16,5,0.0
1_16_6,base1-32,Kadabra,32,base1,NOT_FOUND,1,16,6,0.0
1_16_7,base1-34,Machoke,34,base1,NOT_FOUND,1,16,7,0.0
1_16_8,base1-33,Kakuna,33,base1,NOT_FOUND,1,16,8,0.0
1_16_9,base1-54,Metapod,54,base1,NOT_FOUND,1,16,9,0.0
1_17_1,base1-18,Dragonair,18,base1,NOT_FOUND,1,17,1,0.0
1_17_2,base1-26,Dratini,26,base1,NOT_FOUND,1,17,2,0.0
1_17_3,base1-28,Growlithe,28,base1,NOT_FOUND,1,17,3,0.0
1_17_4,base1-23,Arcanine,23,base1,NOT_FOUND,1,17,4,0.0
1_17_5,base1-21,Electrode,21,base1,NOT_FOUND,1,17,5,0.0
1_17_6,base1-20,Electabuzz,20,base1,NOT_FOUND,1,17,6,0.0
1_17_7,base1-64,Starmie,64,base1,NOT_FOUND,1,17,7,0.0
1_17_8,base1-65,Staryu,65,base1,NOT_FOUND,1,17,8,0.0
1_17_9,base1-96,Double Colorless Energy,96,base1,NOT_FOUND,1,17,9,0.0
1_18_1,base1-88,Professor Oak,88,base1,NOT_FOUND,1,18,1,0.0
1_18_2,base1-91,Bill,91,base1,NOT_FOUND,1,18,2,0.0
1_18_3,base1-92,Energy Removal,92,base1,NOT_FOUND,1,18,3,0.0
1_18_4,base1-87,Pokédex,87,base1,NOT_FOUND,1,18,4,0.0
1_18_5,base1-95,Switch,95,base1,NOT_FOUND,1,18,5,0.0
1_18_6,base1-94,Potion,94,base1,NOT_FOUND,1,18,6,0.0
1_18_7,base1-90,Super Potion,90,base1,NOT_FOUND,1,18,7,0.0
1_18_8,base1-85,Pokémon Center,85,base1,NOT_FOUND,1,18,8,0.0
1_18_9,base1-81,Energy Retrieval,81,base1,NOT_FOUND,1,18,9,0.0
1_19_1,base1-98,Fire Energy,98,base1,NOT_FOUND,1,19,1,0.0
1_19_2,base1-100,Lightning Energy,100,base1,NOT_FOUND,1,19,2,0.0
1_19_3,base1-102,Water Energy,102,base1,NOT_FOUND,1,19,3,0.0
1_19_4,base1-99,Grass Energy,99,base1,NOT_FOUND,1,19,4,0.0
1_19_5,base1-101,Psychic Energy,101,base1,NOT_FOUND,1,19,5,0.0
1_19_6,base1-97,Fighting Energy,97,base1,NOT_FOUND,1,19,6,0.0
1_19_7,base1-96,Double Colorless Energy,96,base1,NOT_FOUND,1,19,7,0.0
1_19_8,base1-4,Charizard,4,base1,Base Set,1,19,8,250.75
1_19_9,base1-2,Blastoise,2,base1,NOT_FOUND,1,19,9,0.0
1_20_1,base1-15,Venusaur,15,base1,NOT_FOUND,1,20,1,0.0
1_20_2,base1-10,Mewtwo,10,base1,NOT_FOUND,1,20,2,0.0
1_20_3,base1-16,Zapdos,16,base1,NOT_FOUND,1,20,3,0.0
1_20_4,base1-6,Gyarados,6,base1,NOT_FOUND,1,20,4,0.0
1_20_5,base1-13,Poliwrath,13,base1,NOT_FOUND,1,20,5,0.0
1_20_6,base1-11,Nidoking,11,base1,NOT_FOUND,1,20,6,0.0
1_20_7,base1-7,Hitmonchan,7,base1,NOT_FOUND,1,20,7,0.0
1_20_8,base1-9,Magneton,9,base1,NOT_FOUND,1,20,8,0.0
1_20_9,base1-3,Chansey,3,base1,NOT_FOUND,1,20,9,0.0
2_1_1,base4-1,Alakazam,1,base4,NOT_FOUND,2,1,1,0.0
2_1_2,base4-2,Blastoise,2,base4,NOT_FOUND,2,1,2,0.0
2_1_3,base4-3,Chansey,3,base4,NOT_FOUND,2,1,3,0.0
2_1_4,base4-4,Charizard,4,base4,NOT_FOUND,2,1,4,0.0
2_1_5,base4-5,Clefable,5,base4,NOT_FOUND,2,1,5,0.0
2_1_6,base4-6,Clefairy,6,base4,NOT_FOUND,2,1,6,0.0
2_1_7,base4-7,Gyarados,7,base4,NOT_FOUND,2,1,7,0.0
2_1_8,base4-8,Hitmonchan,8,base4,NOT_FOUND,2,1,8,0.0
2_1_9,base4-9,Magneton,9,base4,NOT_FOUND,2,1,9,0.0
2_2_1,base4-10,Mewtwo,10,base4,NOT_FOUND,2,2,1,0.0
2_2_2,base4-11,Nidoking,11,base4,NOT_FOUND,2,2,2,0.0
2_2_3,base4-12,Nidoqueen,12,base4,NOT_FOUND,2,2,3,0.0
2_2_4,base4-13,Ninetales,13,base4,NOT_FOUND,2,2,4,0.0
2_2_5,base4-14,Pidgeot,14,base4,NOT_FOUND,2,2,5,0.0
2_2_6,base4-15,Poliwrath,15,base4,NOT_FOUND,2,2,6,0.0
2_2_7,base4-16,Raichu,16,base4,NOT_FOUND,2,2,7,0.0
2_2_8,base4-17,Scyther,17,base4,NOT_FOUND,2,2,8,0.0
2_2_9,base4-18,Venusaur,18,base4,NOT_FOUND,2,2,9,0.0
2_3_1,base4-19,Wigglytuff,19,base4,NOT_FOUND,2,3,1,0.0
2_3_2,base4-20,Zapdos,20,base4,NOT_FOUND,2,3,2,0.0
2_3_3,base4-21,Beedrill,21,base4,NOT_FOUND,2,3,3,0.0
2_3_4,base4-22,Dragonair,22,base4,NOT_FOUND,2,3,4,0.0
2_3_5,base4-23,Dugtrio,23,base4,NOT_FOUND,2,3,5,0.0
2_3_6,base4-24,Electabuzz,24,base4,NOT_FOUND,2,3,6,0.0
2_3_7,base4-25,Electrode,25,base4,NOT_FOUND,2,3,7,0.0
2_3_8,base4-26,Kangaskhan,26,base4,NOT_FOUND,2,3,8,0.0
2_3_9,base4-27,Mr. Mime,27,base4,NOT_FOUND,2,3,9,0.0
2_4_1,base4-28,Pidgeotto,28,base4,NOT_FOUND,2,4,1,0.0
2_4_2,base4-29,Pinsir,29,base4,NOT_FOUND,2,4,2,0.0
2_4_3,base4-30,Snorlax,30,base4,NOT_FOUND,2,4,3,0.0
2_4_4,base4-31,Venomoth,31,base4,NOT_FOUND,2,4,4,0.0
2_4_5,base4-32,Victreebel,32,base4,NOT_FOUND,2,4,5,0.0
2_4_6,base4-33,Arcanine,33,base4,NOT_FOUND,2,4,6,0.0
2_4_7,base4-34,Butterfree,34,base4,NOT_FOUND,2,4,7,0.0
2_4_8,base4-35,Charmeleon,35,base4,NOT_FOUND,2,4,8,0.0
2_4_9,base4-36,Dewgong,36,base4,NOT_FOUND,2,4,9,0.0
2_5_1,base4-37,Dodrio,37,base4,NOT_FOUND,2,5,1,0.0
2_5_2,base4-38,Dratini,38,base4,NOT_FOUND,2,5,2,0.0
2_5_3,base4-39,Exeggutor,39,base4,NOT_FOUND,2,5,3,0.0
2_5_4,base4-40,Farfetch'd,40,base4,NOT_FOUND,2,5,4,0.0
2_5_5,base4-41,Fearow,41,base4,NOT_FOUND,2,5,5,0.0
2_5_6,base4-42,Growlithe,42,base4,NOT_FOUND,2,5,6,0.0
2_5_7,base4-43,Haunter,43,base4,NOT_FOUND,2,5,7,0.0
2_5_8,base4-44,Ivysaur,44,base4,NOT_FOUND,2,5,8,0.0
2_5_9,base4-45,Jynx,45,base4,NOT_FOUND,2,5,9,0.0
2_6_1,base4-46,Kadabra,46,base4,NOT_FOUND,2,6,1,0.0
2_6_2,base4-47,Kakuna,47,base4,NOT_FOUND,2,6,2,0.0
2_6_3,base4-48,Lickitung,48,base4,NOT_FOUND,2,6,3,0.0
2_6_4,base4-49,Machoke,49,base4,NOT_FOUND,2,6,4,0.0
2_6_5,base4-50,Magikarp,50,base4,NOT_FOUND,2,6,5,0.0
2_6_6,base4-51,Magmar,51,base4,NOT_FOUND,2,6,6,0.0
2_6_7,base4-52,Marowak,52,base4,NOT_FOUND,2,6,7,0.0
2_6_8,base4-53,Nidorina,53,base4,NOT_FOUND,2,6,8,0.0
2_6_9,base4-54,Nidorino,54,base4,NOT_FOUND,2,6,9,0.0
2_7_1,base4-55,Parasect,55,base4,NOT_FOUND,2,7,1,0.0
2_7_2,base4-56,Persian,56,base4,NOT_FOUND,2,7,2,0.0
2_7_3,base4-57,Poliwhirl,57,base4,NOT_FOUND,2,7,3,0.0
2_7_4,base4-58,Raticate,58,base4,NOT_FOUND,2,7,4,0.0
2_7_5,base4-59,Rhydon,59,base4,NOT_FOUND,2,7,5,0.0
2_7_6,base4-60,Seaking,60,base4,NOT_FOUND,2,7,6,0.0
2_7_7,base4-61,Seel,61,base4,NOT_FOUND,2,7,7,0.0
2_7_8,base4-62,Tauros,62,base4,NOT_FOUND,2,7,8,0.0
2_7_9,base4-63,Wartortle,63,base4,NOT_FOUND,2,7,9,0.0
2_8_1,base4-64,Weepinbell,64,base4,NOT_FOUND,2,8,1,0.0
2_8_2,base4-65,Abra,65,base4,NOT_FOUND,2,8,2,0.0
2_8_3,base4-66,Bellsprout,66,base4,NOT_FOUND,2,8,3,0.0
2_8_4,base4-67,Bulbasaur,67,base4,NOT_FOUND,2,8,4,0.0
2_8_5,base4-68,Caterpie,68,base4,NOT_FOUND,2,8,5,0.0
2_8_6,base4-69,Charmander,69,base4,NOT_FOUND,2,8,6,0.0
2_8_7,base4-70,Cubone,70,base4,NOT_FOUND,2,8,7,0.0
2_8_8,base4-71,Diglett,71,base4,NOT_FOUND,2,8,8,0.0
2_8_9,base4-72,Doduo,72,base4,NOT_FOUND,2,8,9,0.0
2_9_1,base4-73,Drowzee,73,base4,NOT_FOUND,2,9,1,0.0
2_9_2,base4-74,Exeggcute,74,base4,NOT_FOUND,2,9,2,0.0
2_9_3,base4-75,Gastly,75,base4,NOT_FOUND,2,9,3,0.0
2_9_4,base4-76,Goldeen,76,base4,NOT_FOUND,2,9,4,0.0
2_9_5,base4-77,Jigglypuff,77,base4,NOT_FOUND,2,9,5,0.0
2_9_6,base4-78,Machop,78,base4,NOT_FOUND,2,9,6,0.0
2_9_7,base4-79,Magnemite,79,base4,NOT_FOUND,2,9,7,0.0
2_9_8,base4-80,Meowth,80,base4,NOT_FOUND,2,9,8,0.0
2_9_9,base4-81,Metapod,81,base4,NOT_FOUND,2,9,9,0.0
2_10_1,base4-82,Nidoran ♀,82,base4,NOT_FOUND,2,10,1,0.0
2_10_2,base4-83,Nidoran ♂,83,base4,NOT_FOUND,2,10,2,0.0
2_10_3,base4-84,Onix,84,base4,NOT_FOUND,2,10,3,0.0
2_10_4,base4-85,Paras,85,base4,NOT_FOUND,2,10,4,0.0
2_10_5,base4-86,Pidgey,86,base4,NOT_FOUND,2,10,5,0.0
2_10_6,base4-87,Pikachu,87,base4,NOT_FOUND,2,10,6,0.0
2_10_7,base4-88,Poliwag,88,base4,NOT_FOUND,2,10,7,0.0
2_10_8,base4-89,Rattata,89,base4,NOT_FOUND,2,10,8,0.0
2_10_9,base4-90,Rhyhorn,90,base4,NOT_FOUND,2,10,9,0.0
2_11_1,base4-91,Sandshrew,91,base4,NOT_FOUND,2,11,1,0.0
2_11_2,base4-92,Spearow,92,base4,NOT_FOUND,2,11,2,0.0
2_11_3,base4-93,Squirtle,93,base4,NOT_FOUND,2,11,3,0.0
2_11_4,base4-94,Starmie,94,base4,NOT_FOUND,2,11,4,0.0
2_11_5,base4-95,Staryu,95,base4,NOT_FOUND,2,11,5,0.0
2_11_6,base4-96,Tangela,96,base4,NOT_FOUND,2,11,6,0.0
2_11_7,base4-97,Venonat,97,base4,NOT_FOUND,2,11,7,0.0
2_11_8,base4-98,Voltorb,98,base4,NOT_FOUND,2,11,8,0.0
2_11_9,base4-99,Vulpix,99,base4,NOT_FOUND,2,11,9,0.0
2_12_1,base4-100,Weedle,100,base4,NOT_FOUND,2,12,1,0.0
2_12_2,base4-101,Computer Search,101,base4,NOT_FOUND,2,12,2,0.0
2_12_3,base4-102,Imposter Professor Oak,102,base4,NOT_FOUND,2,12,3,0.0
2_12_4,base4-103,Item Finder,103,base4,NOT_FOUND,2,12,4,0.0
2_12_5,base4-104,Lass,104,base4,NOT_FOUND,2,12,5,0.0
2_12_6,base4-105,Pokémon Breeder,105,base4,NOT_FOUND,2,12,6,0.0
2_12_7,base4-106,Pokémon Trader,106,base4,NOT_FOUND,2,12,7,0.0
2_12_8,base4-107,Scoop Up,107,base4,NOT_FOUND,2,12,8,0.0
2_12_9,base4-108,Super Energy Removal,108,base4,NOT_FOUND,2,12,9,0.0
2_13_1,base4-109,Defender,109,base4,NOT_FOUND,2,13,1,0.0
2_13_2,base4-110,Energy Retrieval,110,base4,NOT_FOUND,2,13,2,0.0
2_13_3,base4-111,Full Heal,111,base4,NOT_FOUND,2,13,3,0.0
2_13_4,base4-112,Maintenance,112,base4,NOT_FOUND,2,13,4,0.0
2_13_5,base4-113,PlusPower,113,base4,NOT_FOUND,2,13,5,0.0
2_13_6,base4-114,Pokémon Center,114,base4,NOT_FOUND,2,13,6,0.0
2_13_7,base4-115,Pokédex,115,base4,NOT_FOUND,2,13,7,0.0
2_13_8,base4-116,Professor Oak,116,base4,NOT_FOUND,2,13,8,0.0
2_13_9,base4-117,Super Potion,117,base4,NOT_FOUND,2,13,9,0.0
2_14_1,base4-118,Bill,118,base4,NOT_FOUND,2,14,1,0.0
2_14_2,base4-119,Energy Removal,119,base4,NOT_FOUND,2,14,2,0.0
2_14_3,base4-120,Gust of Wind,120,base4,NOT_FOUND,2,14,3,0.0
2_14_4,base4-121,Poké Ball,121,base4,NOT_FOUND,2,14,4,0.0
2_14_5,base4-122,Potion,122,base4,NOT_FOUND,2,14,5,0.0
2_14_6,base4-123,Switch,123,base4,NOT_FOUND,2,14,6,0.0
2_14_7,base4-124,Double Colorless Energy,124,base4,NOT_FOUND,2,14,7,0.0
2_14_8,base4-125,Fighting Energy,125,base4,NOT_FOUND,2,14,8,0.0
2_14_9,base4-126,Fire Energy,126,base4,NOT_FOUND,2,14,9,0.0
2_15_1,base4-127,Grass Energy,127,base4,NOT_FOUND,2,15,1,0.0
2_15_2,base4-128,Lightning Energy,128,base4,NOT_FOUND,2,15,2,0.0
2_15_3,base4-129,Psychic Energy,129,base4,NOT_FOUND,2,15,3,0.0
2_15_4,base4-130,Water Energy,130,base4,NOT_FOUND,2,15,4,0.0
2_15_5,base4-4,Charizard,4,base4,NOT_FOUND,2,15,5,0.0
2_15_6,base4-2,Blastoise,2,base4,NOT_FOUND,2,15,6,0.0
2_15_7,base4-18,Venusaur,18,base4,NOT_FOUND,2,15,7,0.0
2_15_8,base4-10,Mewtwo,10,base4,NOT_FOUND,2,15,8,0.0
2_15_9,base4-20,Zapdos,20,base4,NOT_FOUND,2,15,9,0.0
2_16_1,base4-16,Raichu,16,base4,NOT_FOUND,2,16,1,0.0
2_16_2,base4-17,Scyther,17,base4,NOT_FOUND,2,16,2,0.0
2_16_3,base4-19,Wigglytuff,19,base4,NOT_FOUND,2,16,3,0.0
2_16_4,base4-14,Pidgeot,14,base4,NOT_FOUND,2,16,4,0.0
2_16_5,base4-12,Nidoqueen,12,base4,NOT_FOUND,2,16,5,0.0
2_16_6,base4-11,Nidoking,11,base4,NOT_FOUND,2,16,6,0.0
2_16_7,base4-1,Alakazam,1,base4,NOT_FOUND,2,16,7,0.0
2_16_8,base4-7,Gyarados,7,base4,NOT_FOUND,2,16,8,0.0
2_16_9,base4-3,Chansey,3,base4,NOT_FOUND,2,16,9,0.0
2_17_1,base4-5,Clefable,5,base4,NOT_FOUND,2,17,1,0.0
2_17_2,base4-87,Pikachu,87,base4,NOT_FOUND,2,17,2,0.0
2_17_3,base4-67,Bulbasaur,67,base4,NOT_FOUND,2,17,3,0.0
2_17_4,base4-69,Charmander,69,base4,NOT_FOUND,2,17,4,0.0
2_17_5,base4-93,Squirtle,93,base4,NOT_FOUND,2,17,5,0.0
2_17_6,base4-86,Pidgey,86,base4,NOT_FOUND,2,17,6,0.0
2_17_7,base4-89,Rattata,89,base4,NOT_FOUND,2,17,7,0.0
2_17_8,base4-6,Clefairy,6,base4,NOT_FOUND,2,17,8,0.0
2_17_9,base4-50,Magikarp,50,base4,NOT_FOUND,2,17,9,0.0
2_18_1,base4-65,Abra,65,base4,NOT_FOUND,2,18,1,0.0
2_18_2,base4-78,Machop,78,base4,NOT_FOUND,2,18,2,0.0
