publishedAt,title,description,url,source.name,author
2025-09-06 00:16:00+00:00,Trump rebrands Pentagon as the Department of War,President Trump has signed an executive order rebranding the US Department of Defense as the Department of War.,https://news.sky.com/story/president-trump-signs-order-rebranding-pentagon-as-the-department-of-war-13425876,Sky.com,
2025-09-05 20:51:11+00:00,Japanese man becomes oldest to summit Mount Fuji at 102 with help from his family,"Kokichi Akuzawa almost gave up during his trek to became the oldest person to reach summit of Mount Fuji at age 102, an achievement recognized by Guinness World Records after he reached the top in early August. “I was really tempted to give up halfway through…",https://japantoday.com/category/national/japanese-man-becomes-oldest-to-summit-mount-fuji-at-102-with-help-from-his-family,Japan Today,
2025-09-05 06:30:18+00:00,102-year-old becomes oldest person to summit Mount Fuji,"Kokichi Akuzawa has become the oldest person to summit Mount Fuji at age 102, an achievement recognized by Guinness World Records after he reached the top",https://abcnews.go.com/International/wireStory/102-year-oldest-person-summit-mount-fuji-125279784,ABC News,REENO HASHIMOTO Associated Press
2025-09-26 01:32:00+00:00,Taiwan showcases chipmaking prowess as a private exhibitor at Osaka Expo,"The expo’s guidebook makes only brief references to Taiwan's food and lifestyles, but the structure of its pavilion and exhibits are rich in symbolism.",https://www.japantimes.co.jp/news/2025/09/26/japan/taiwan-osaka-expo/,The Japan Times,Tomoko Otake
2025-09-03 10:00:30+00:00,"A Foreigner’s Incomplete Guide to Running in Seoul, South Korea","The post A Foreigner’s Incomplete Guide to Running in Seoul, South Korea appeared first on iRunFar.
An introduction to trail running around Seoul, South Korea. 
A Foreigner’s Incomplete Guide to Running in Seoul, South Korea by Guest Writer.",https://www.irunfar.com/a-foreigners-incomplete-guide-to-running-in-seoul-south-korea,Irunfar.com,Guest Writer
2025-09-17 14:11:15+00:00,China's largest foundry testing first domestic immersion DUV lithography tool — SMIC takes significant step on road to wafer fab equipment self-sufficiency,"SMIC is testing a domestically built immersion DUV lithography system developed by Yuliangsheng and capable of 28nm-class process technology. But while it is said that the tool could be used to make 7nm or even 5nm-class chips with multipatterning, it remains…",https://www.tomshardware.com/tech-industry/semiconductors/chinas-largest-foundry-testing-first-domestic-immersion-duv-lithography-tool-smic-takes-significant-step-on-road-to-wafer-fab-equipment-self-sufficiency,Tom's Hardware UK,"ashilov@gmail.com (Anton Shilov) , Anton Shilov"
2025-09-05 17:24:19+00:00,Accelerate Large-Scale LLM Inference and KV Cache Offload with CPU-GPU Memory Sharing,"Large Language Models (LLMs) are at the forefront of AI innovation, but their massive size can complicate inference efficiency. Models such as Llama 3 70B and...",https://developer.nvidia.com/blog/accelerate-large-scale-llm-inference-and-kv-cache-offload-with-cpu-gpu-memory-sharing/,Nvidia.com,Ivan Goldwasser
2025-09-05 19:28:28+00:00,102-year-old becomes oldest person to summit Mount Fuji,"Kokichi Akuzawa achieved a remarkable feat. At 102, he scaled Mount Fuji. Guinness World Records recognized his achievement. Akuzawa faced challenges during the climb. He was supported by his family and friends. He had previously set the record at age 96. Aku…",https://economictimes.indiatimes.com/news/international/world-news/102-year-old-becomes-oldest-person-to-summit-mount-fuji/articleshow/123725865.cms,The Times of India,AP
2025-09-05 10:37:00+00:00,"Man, 102, Is Once Again the Oldest to Summit Mount Fuji","Kokichi Akuzawa almost gave up during his trek to became the oldest person to summit Mount Fuji at age 102, an achievement recognized by Guinness World Records after he reached the top in early August. ""I was really tempted to give up halfway through,"" Akuzaw…",https://www.newser.com/story/374712/man-102-is-once-again-the-oldest-to-summit-mount-fuji.html,Newser,Evann Gastaldo
2025-09-24 19:37:45+00:00,The Best Cameras for Photography to Take On Long-Distance Backpacking,"I sat on the floor surrounded by backpacking gear like I was in the middle of a summoning circle, carefully setting a headlamp on a gram scale in front of me. 47 grams. Not bad. I kept weighing items one by one, trying to find any unnecessary weight to cut, b…",https://petapixel.com/2025/09/24/the-best-cameras-for-photography-to-take-on-long-distance-backpacking/,PetaPixel,Taylor Passofaro
2025-09-23 13:00:00+00:00,Best counties for retirees in America,Stacker compiled a list of the best counties for retirees using 2025 data from Niche.,https://stacker.com/stories/real-estate/best-counties-retirees-america,Stacker.com,Liz Barrett Foster
